area_health_resource_files_release_year,occupation_name,geography_name,hispanic,white,black,asian,pacific,indigenous,other,less_than_30,30_to_39,40_to_49,50_to_59,60+,male,female,hispanic-latino_%,white_%,black-african_american_%,asian_%,native_hawaiian-other_pacific_islander_%,american_indian-alaska_native_%,other-multiple_races_%,less_than_30_%,30_to_39_%,40_to_49_%,50_to_59_%,60+_%,male_%,female_%,missing-suppressed_raceethnicity_data_comment,missing-suppressed_age_data_comment,missing-suppressed_gender_data_comment,hrsa_data_warehouse_processing_date
ACS 5-Year 2015-2019,"Opticians, Dispensing",Mississippi,,204.0,239.0,,,,,68.0,106.0,144.0,121.0,,,373.0,,43.22,50.636,,,,,14.407,22.458,30.508,25.636,,,79.025,Hispanic: Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],60 or Older: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Missouri,,1155.0,,,,,,248.0,203.0,205.0,378.0,187.0,248.0,973.0,,94.595,,,,,,20.311,16.626,16.79,30.958,15.315,20.311,79.689,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Montana,,159.0,,,,,,,,,,,,137.0,,94.643,,,,,,,,,,,,81.548,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Nebraska,,572.0,,,,,,371.0,76.0,,,,,631.0,,83.382,,,,,,54.082,11.079,,,,,91.983,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Nevada,,422.0,,,,,,98.0,87.0,,130.0,86.0,198.0,283.0,,87.734,,,,,,20.374,18.087,,27.027,17.879,41.164,58.836,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,40 to 49 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",New Hampshire,,398.0,,,,,,,,89.0,176.0,,52.0,346.0,,100.0,,,,,,,,22.362,44.221,,13.065,86.935,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",New Jersey,281.0,1114.0,128.0,,,,,231.0,211.0,260.0,439.0,428.0,611.0,958.0,17.909,71.001,8.158,,,,,14.723,13.448,16.571,27.98,27.279,38.942,61.058,Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",New Mexico,115.0,201.0,,,,,,,,,199.0,,,213.0,33.333,58.261,,,,,,,,,57.681,,,61.739,Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed; 60 or Older: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",New York,463.0,2854.0,489.0,366.0,,,,783.0,789.0,923.0,1006.0,715.0,2045.0,2171.0,10.982,67.694,11.599,8.681,,,,18.572,18.714,21.893,23.861,16.959,48.506,51.494,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",North Carolina,,1472.0,,,,,,313.0,278.0,348.0,426.0,292.0,456.0,1201.0,,88.835,,,,,,18.89,16.777,21.002,25.709,17.622,27.52,72.48,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",North Dakota,,412.0,,,,,,,,,,41.0,,377.0,,100.0,,,,,,,,,,9.951,,91.505,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Ohio,,2922.0,170.0,,,,82.0,490.0,527.0,612.0,698.0,854.0,770.0,2411.0,,91.858,5.344,,,,2.578,15.404,16.567,19.239,21.943,26.847,24.206,75.794,Hispanic: [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Oklahoma,64.0,561.0,,,,80.0,,199.0,,196.0,99.0,170.0,159.0,583.0,8.625,75.606,,,,10.782,,26.819,,26.415,13.342,22.911,21.429,78.571,Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; Multiple/ Other Race: Supressed,30 to 39 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Oregon,,802.0,,,,,,235.0,268.0,165.0,190.0,203.0,329.0,732.0,,75.589,,,,,,22.149,25.259,15.551,17.908,19.133,31.008,68.992,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Pennsylvania,81.0,2497.0,,,,,,448.0,447.0,470.0,763.0,668.0,875.0,1921.0,2.897,89.306,,,,,,16.023,15.987,16.81,27.289,23.891,31.295,68.705,Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Rhode Island,,157.0,,,,,,,,65.0,,,79.0,93.0,,91.279,,,,,,,,37.791,,,45.93,54.07,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data]; 30 to 39 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",South Carolina,,859.0,238.0,,,,,145.0,161.0,271.0,419.0,189.0,458.0,727.0,,72.489,20.084,,,,,12.236,13.586,22.869,35.359,15.949,38.65,61.35,Hispanic: Supressed; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",South Dakota,,233.0,,,,,,,,140.0,,,,175.0,,89.961,,,,,,,,54.054,,,,67.568,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Tennessee,,1179.0,,,,,,451.0,281.0,203.0,236.0,282.0,447.0,1006.0,,81.142,,,,,,31.039,19.339,13.971,16.242,19.408,30.764,69.236,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Texas,1904.0,2341.0,251.0,138.0,,,108.0,1779.0,828.0,706.0,792.0,637.0,993.0,3749.0,40.152,49.367,5.293,2.91,,,2.278,37.516,17.461,14.888,16.702,13.433,20.941,79.059,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Utah,,419.0,,55.0,,,,211.0,80.0,129.0,88.0,,79.0,450.0,,79.206,,10.397,,,,39.887,15.123,24.386,16.635,,14.934,85.066,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Virginia,165.0,1319.0,148.0,93.0,,,,130.0,300.0,404.0,496.0,436.0,459.0,1307.0,9.343,74.689,8.381,5.266,,,,7.361,16.988,22.877,28.086,24.689,25.991,74.009,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Washington,93.0,1158.0,,182.0,,,86.0,425.0,319.0,176.0,410.0,218.0,461.0,1087.0,6.008,74.806,,11.757,,,5.556,27.455,20.607,11.37,26.486,14.083,29.78,70.22,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",West Virginia,,315.0,,,,,,,,,117.0,,,353.0,,89.235,,,,,,,,,33.144,,,100.0,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed; 60 or Older: Supressed,Male: [No Data],2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Wisconsin,,1429.0,,,,,,251.0,499.0,356.0,361.0,88.0,200.0,1355.0,,91.897,,,,,,16.141,32.09,22.894,23.215,5.659,12.862,87.138,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,"Opticians, Dispensing",Wyoming,,104.0,,,,,,,,,,,,,,97.196,,,,,,,,,,,,,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,Male: Supressed; Female: Supressed,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Alabama,,446.0,,,,,,,74.0,138.0,,134.0,288.0,239.0,,84.63,,,,,,,14.042,26.186,,25.427,54.649,45.351,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed; 50 to 59 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Arizona,,516.0,,149.0,,,,79.0,180.0,212.0,144.0,70.0,359.0,326.0,,75.328,,21.752,,,,11.533,26.277,30.949,21.022,10.219,52.409,47.591,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Arkansas,,328.0,,,,,,,156.0,158.0,,,156.0,216.0,,88.172,,,,,,,41.935,42.473,,,41.935,58.065,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,California,236.0,2530.0,,2935.0,,,215.0,563.0,1488.0,1365.0,1135.0,1365.0,2730.0,3186.0,3.989,42.765,,49.611,,,3.634,9.517,25.152,23.073,19.185,23.073,46.146,53.854,Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Colorado,49.0,606.0,,86.0,,,,,165.0,265.0,242.0,37.0,425.0,324.0,6.542,80.908,,11.482,,,,,22.029,35.381,32.31,4.94,56.742,43.258,Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Connecticut,,446.0,,,,,,,,63.0,76.0,286.0,328.0,146.0,,94.093,,,,,,,,13.291,16.034,60.338,69.198,30.802,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Delaware,,147.0,,,,,,,50.0,,,,,60.0,,89.091,,,,,,,30.303,,,,,36.364,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data]; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Florida,239.0,1543.0,,208.0,,,,213.0,486.0,438.0,457.0,507.0,1386.0,715.0,11.376,73.441,,9.9,,,,10.138,23.132,20.847,21.752,24.131,65.969,34.031,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Georgia,,606.0,157.0,126.0,,,,,365.0,155.0,302.0,188.0,703.0,312.0,,59.704,15.468,12.414,,,,,35.961,15.271,29.754,18.522,69.261,30.739,Hispanic: [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Hawaii,,,,261.0,,,,,,,95.0,68.0,234.0,74.0,,,,84.74,,,,,,,30.844,22.078,75.974,24.026,Hispanic: [No Data]; White (Non-Hispanic): Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Idaho,,136.0,,,,,,,,68.0,,,136.0,60.0,,69.388,,,,,,,,34.694,,,69.388,30.612,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 50 to 59 Years Old: [No Data]; 60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Illinois,77.0,1539.0,,254.0,,,,201.0,449.0,263.0,521.0,476.0,1045.0,865.0,4.031,80.576,,13.298,,,,10.524,23.508,13.77,27.277,24.921,54.712,45.288,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Indiana,,887.0,,,,,,138.0,230.0,171.0,282.0,223.0,522.0,522.0,,84.962,,,,,,13.218,22.031,16.379,27.011,21.36,50.0,50.0,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Iowa,,417.0,,,,,,,187.0,,,57.0,203.0,214.0,,100.0,,,,,,,44.844,,,13.669,48.681,51.319,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Kansas,,580.0,,,,,,,264.0,218.0,,,421.0,231.0,,88.957,,,,,,,40.491,33.436,,,64.571,35.429,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Kentucky,,414.0,,,,,,,97.0,127.0,89.0,96.0,234.0,218.0,,91.593,,,,,,,21.46,28.097,19.69,21.239,51.77,48.23,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Louisiana,,344.0,,,,,,,78.0,,138.0,70.0,265.0,102.0,,93.733,,,,,,,21.253,,37.602,19.074,72.207,27.793,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 40 to 49 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Maine,,206.0,,,,,,,,,,,97.0,109.0,,100.0,,,,,,,,,,,47.087,52.913,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Maryland,,565.0,,133.0,,,,,116.0,227.0,140.0,249.0,368.0,364.0,,77.186,,18.169,,,,,15.847,31.011,19.126,34.016,50.273,49.727,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: [No Data],,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Massachusetts,,671.0,,83.0,,,,70.0,221.0,123.0,144.0,196.0,389.0,365.0,,88.992,,11.008,,,,9.284,29.31,16.313,19.098,25.995,51.592,48.408,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Michigan,,1217.0,,,,,,172.0,303.0,336.0,252.0,259.0,695.0,627.0,,92.057,,,,,,13.011,22.92,25.416,19.062,19.592,52.572,47.428,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Minnesota,,966.0,,,,,,,312.0,150.0,201.0,181.0,544.0,427.0,,99.485,,,,,,,32.132,15.448,20.7,18.641,56.025,43.975,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Mississippi,,376.0,,,,,,,116.0,120.0,,39.0,232.0,156.0,,96.907,,,,,,,29.897,30.928,,10.052,59.794,40.206,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 50 to 59 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Missouri,,857.0,,,,,,60.0,246.0,146.0,272.0,177.0,481.0,420.0,,95.117,,,,,,6.659,27.303,16.204,30.189,19.645,53.385,46.615,Hispanic: [No Data]; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Montana,,84.0,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: [No Data]; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,Male: Supressed; Female: Supressed,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Nebraska,,405.0,,,,,,,211.0,,,140.0,262.0,185.0,,90.604,,,,,,,47.204,,,31.32,58.613,41.387,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: [No Data]; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,Nevada,,274.0,,,,,,,,115.0,57.0,110.0,245.0,119.0,,75.275,,,,,,,,31.593,15.659,30.22,67.308,32.692,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,New Hampshire,,210.0,,,,,,,,,,,,142.0,,100.0,,,,,,,,,,,,67.619,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data]; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,Optometrists,New Jersey,,757.0,,134.0,,,,92.0,112.0,282.0,271.0,182.0,420.0,519.0,,80.618,,14.271,,,,9.798,11.928,30.032,28.86,19.382,44.728,55.272,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,New Mexico,,250.0,,,,,,,,,,106.0,197.0,82.0,,89.606,,,,,,,,,,37.993,70.609,29.391,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,New York,223.0,1692.0,,458.0,,,,282.0,563.0,500.0,500.0,547.0,1372.0,1020.0,9.323,70.736,,19.147,,,,11.789,23.537,20.903,20.903,22.868,57.358,42.642,Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,North Carolina,,943.0,,134.0,,,,129.0,359.0,339.0,86.0,204.0,637.0,480.0,,84.423,,11.996,,,,11.549,32.14,30.349,7.699,18.263,57.028,42.972,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Optometrists,North Dakota,,135.0,,,,,,,,,,,135.0,,,100.0,,,,,,,,,,,100.0,,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data]; 30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,Female: [No Data],2022/03/21
